"","s_code","s_name","s_description","s_resource_code","s_sensor_type_code","s_table_name","s_table_type","s_x_offset","s_y_offset","s_z_offset","s_datum_code","s_datum_value","s_graph_value","s_min_value_1","s_max_value_1","s_min_value_2","s_max_value_2","s_min_value_3","s_max_value_3","s_min_value_4","s_max_value_4","s_min_value_5","s_max_value_5","deleted","datestamp"
"616",629,"scevo.data.bom.idy.rottnest.raw.atmpress","scevo.data.bom.idy.rottnest.raw.atmpress",30,5,"sensor_repository_00629","RAW",0,0,0,2,0,"Atmospheric Pressure QNH (hPa)",990,1100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:51
"617",630,"scevo.data.bom.idy.rottnest.raw.Rainfall_9am","scevo.data.bom.idy.rottnest.raw.Rainfall_9am",30,8,"sensor_repository_00630","RAW",0,0,0,2,0,"Rainfall since 9 am",0,200,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:51
"618",631,"scevo.data.bom.idy.rottnest.raw.rainfall","scevo.data.bom.idy.rottnest.raw.rainfall",30,7,"sensor_repository_00631","RAW",0,0,0,2,0,"Rainfall (MM)",0,100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:51
"619",632,"scevo.data.bom.idy.rottnest.downsampled.15min.wind_speed","scevo.data.bom.idy.rottnest.downsampled.15min.wind_speed",30,1,"sensor_repository_00632","SAMPLED",0,0,0,2,0,"Wind Speed (knots)",0,30,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:52
"620",633,"scevo.data.bom.idy.rottnest.downsampled.15min.wind_direction","scevo.data.bom.idy.rottnest.downsampled.15min.wind_direction",30,2,"sensor_repository_00633","SAMPLED",0,0,0,2,0,"Wind Direction",0,360,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:52
"621",609,"scevo.data.bom.idy.perth_metro.downsampled.15min.Rainfall_9am","scevo.data.bom.idy.perth_metro.downsampled.15min.Rainfall_9am",29,8,"sensor_repository_00609","SAMPLED",0,0,0,2,0,"Rainfall since 9 am",0,200,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:47
"622",610,"scevo.data.bom.idy.perth_metro.downsampled.15min.rainfall","scevo.data.bom.idy.perth_metro.downsampled.15min.rainfall",29,7,"sensor_repository_00610","SAMPLED",0,0,0,2,0,"Rainfall (MM)",0,100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:48
"623",611,"scevo.data.bom.idy.perth_metro.downsampled.30min.wind_speed","scevo.data.bom.idy.perth_metro.downsampled.30min.wind_speed",29,1,"sensor_repository_00611","SAMPLED",0,0,0,2,0,"Wind Speed (knots)",0,30,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:48
"624",612,"scevo.data.bom.idy.perth_metro.downsampled.30min.wind_direction","scevo.data.bom.idy.perth_metro.downsampled.30min.wind_direction",29,2,"sensor_repository_00612","SAMPLED",0,0,0,2,0,"Wind Direction",0,360,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:48
"625",638,"scevo.data.bom.idy.rottnest.downsampled.15min.rainfall","scevo.data.bom.idy.rottnest.downsampled.15min.rainfall",30,7,"sensor_repository_00638","SAMPLED",0,0,0,2,0,"Rainfall (MM)",0,100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:53
"626",639,"scevo.data.bom.idy.rottnest.downsampled.30min.wind_speed","scevo.data.bom.idy.rottnest.downsampled.30min.wind_speed",30,1,"sensor_repository_00639","SAMPLED",0,0,0,2,0,"Wind Speed (knots)",0,30,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:53
